Order_ID,Order_Date,Region,Sales_Channel,Product,Quantity,Unit_Price,Revenue
1001,2024-01-05,North,Online,Laptop,2,65000,130000
1002,2024-01-08,South,Retail,Mobile,5,15000,75000
1003,2024-01-12,East,Distributor,Tablet,3,22000,66000
1004,2024-02-03,West,Online,Laptop,1,65000,65000
1005,2024-02-10,North,Retail,Accessories,10,2000,20000
1006,2024-02-18,South,Online,Mobile,4,15000,60000
1007,2024-03-05,East,Distributor,Laptop,2,65000,130000
1008,2024-03-11,West,Retail,Tablet,3,22000,66000
1009,2024-03-20,North,Online,Accessories,15,2000,30000
1010,2024-04-02,South,Distributor,Mobile,6,15000,90000
1011,2024-04-10,East,Online,Laptop,1,65000,65000
1012,2024-04-15,West,Retail,Accessories,8,2000,16000
1013,2024-05-01,North,Distributor,Tablet,4,22000,88000
1014,2024-05-07,South,Online,Laptop,2,65000,130000
1015,2024-05-20,East,Retail,Mobile,5,15000,75000
